Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.0786281	Src2	0	1	LastDelay	0.0702948	70294.8	1	3
0.0786281	Src2	0	1	FullDelay	0.0702948	70294.8	1	3
0.0953825	Src1	0	1	LastDelay	0.0870492	87049.2	1	3
0.0953825	Src1	0	1	FullDelay	0.0870492	87049.2	1	3
0.0958121	Src2	0	2	LastDelay	0.0791455	79145.5	1	3
0.0958121	Src2	0	2	FullDelay	0.0791455	79145.5	1	3
0.112567	Src1	0	2	LastDelay	0.0958999	95899.9	1	3
0.112567	Src1	0	2	FullDelay	0.0958999	95899.9	1	3
0.112996	Src2	0	3	LastDelay	0.0879961	87996.1	1	3
0.112996	Src2	0	3	FullDelay	0.0879961	87996.1	1	3
0.129751	Src1	0	3	LastDelay	0.104751	104751	1	3
0.129751	Src1	0	3	FullDelay	0.104751	104751	1	3
0.13018	Src2	0	4	LastDelay	0.0968468	96846.8	1	3
0.13018	Src2	0	4	FullDelay	0.0968468	96846.8	1	3
0.146935	Src1	0	4	LastDelay	0.113601	113601	1	3
0.146935	Src1	0	4	FullDelay	0.113601	113601	1	3
0.147364	Src2	0	5	LastDelay	0.105697	105697	1	3
0.147364	Src2	0	5	FullDelay	0.105697	105697	1	3
0.164119	Src1	0	5	LastDelay	0.122452	122452	1	3
0.164119	Src1	0	5	FullDelay	0.122452	122452	1	3
0.164548	Src2	0	6	LastDelay	0.114548	114548	1	3
0.164548	Src2	0	6	FullDelay	0.114548	114548	1	3
0.181303	Src1	0	6	LastDelay	0.131303	131303	1	3
0.181303	Src1	0	6	FullDelay	0.131303	131303	1	3
0.181732	Src2	0	7	LastDelay	0.123399	123399	1	3
0.181732	Src2	0	7	FullDelay	0.123399	123399	1	3
0.198487	Src1	0	7	LastDelay	0.140153	140153	1	3
0.198487	Src1	0	7	FullDelay	0.140153	140153	1	3
0.198916	Src2	0	8	LastDelay	0.132249	132249	1	3
0.198916	Src2	0	8	FullDelay	0.132249	132249	1	3
0.215671	Src1	0	8	LastDelay	0.149004	149004	1	3
0.215671	Src1	0	8	FullDelay	0.149004	149004	1	3
0.2161	Src2	0	9	LastDelay	0.1411	141100	1	3
0.2161	Src2	0	9	FullDelay	0.1411	141100	1	3
0.232855	Src1	0	9	LastDelay	0.157855	157855	1	3
0.232855	Src1	0	9	FullDelay	0.157855	157855	1	3
0.233284	Src2	0	10	LastDelay	0.149951	149951	1	3
0.233284	Src2	0	10	FullDelay	0.149951	149951	1	3
0.250039	Src1	0	10	LastDelay	0.166705	166705	1	3
0.250039	Src1	0	10	FullDelay	0.166705	166705	1	3
0.250468	Src2	0	11	LastDelay	0.158801	158801	1	3
0.250468	Src2	0	11	FullDelay	0.158801	158801	1	3
0.267223	Src1	0	11	LastDelay	0.175556	175556	1	3
0.267223	Src1	0	11	FullDelay	0.175556	175556	1	3
0.267652	Src2	0	12	LastDelay	0.167652	167652	1	3
0.267652	Src2	0	12	FullDelay	0.167652	167652	1	3
0.284407	Src1	0	12	LastDelay	0.184407	184407	1	3
0.284407	Src1	0	12	FullDelay	0.184407	184407	1	3
0.284836	Src2	0	13	LastDelay	0.176503	176503	1	3
0.284836	Src2	0	13	FullDelay	0.176503	176503	1	3
0.301591	Src1	0	13	LastDelay	0.193257	193257	1	3
0.301591	Src1	0	13	FullDelay	0.193257	193257	1	3
0.30202	Src2	0	14	LastDelay	0.185353	185353	1	3
0.30202	Src2	0	14	FullDelay	0.185353	185353	1	3
0.318855	Src1	0	14	LastDelay	0.202188	202188	1	3
0.318855	Src1	0	14	FullDelay	0.202188	202188	1	3
0.319244	Src2	0	15	LastDelay	0.194244	194244	1	3
0.319244	Src2	0	15	FullDelay	0.194244	194244	1	3
0.335999	Src1	0	15	LastDelay	0.210999	210999	1	3
0.335999	Src1	0	15	FullDelay	0.210999	210999	1	3
0.336428	Src2	0	16	LastDelay	0.203095	203095	1	3
0.336428	Src2	0	16	FullDelay	0.203095	203095	1	3
0.353183	Src1	0	16	LastDelay	0.219849	219849	1	3
0.353183	Src1	0	16	FullDelay	0.219849	219849	1	3
0.353612	Src2	0	17	LastDelay	0.211945	211945	1	3
0.353612	Src2	0	17	FullDelay	0.211945	211945	1	3
0.370367	Src1	0	17	LastDelay	0.2287	228700	1	3
0.370367	Src1	0	17	FullDelay	0.2287	228700	1	3
0.370796	Src2	0	18	LastDelay	0.220796	220796	1	3
0.370796	Src2	0	18	FullDelay	0.220796	220796	1	3
0.387551	Src1	0	18	LastDelay	0.237551	237551	1	3
0.387551	Src1	0	18	FullDelay	0.237551	237551	1	3
0.38798	Src2	0	19	LastDelay	0.229647	229647	1	3
0.38798	Src2	0	19	FullDelay	0.229647	229647	1	3
0.404735	Src1	0	19	LastDelay	0.246401	246401	1	3
0.404735	Src1	0	19	FullDelay	0.246401	246401	1	3
0.405164	Src2	0	20	LastDelay	0.238497	238497	1	3
0.405164	Src2	0	20	FullDelay	0.238497	238497	1	3
0.413756	Src2	0	21	LastDelay	0.238756	238756	1	3
0.413756	Src2	0	21	FullDelay	0.238756	238756	1	3
0.422348	Src2	0	22	LastDelay	0.239015	239015	1	3
0.422348	Src2	0	22	FullDelay	0.239015	239015	1	3
0.43094	Src2	0	23	LastDelay	0.239273	239273	1	3
0.43094	Src2	0	23	FullDelay	0.239273	239273	1	3
0.439532	Src2	0	24	LastDelay	0.239532	239532	1	3
0.439532	Src2	0	24	FullDelay	0.239532	239532	1	3
0.448124	Src2	0	25	LastDelay	0.239791	239791	1	3
0.448124	Src2	0	25	FullDelay	0.239791	239791	1	3
0.456716	Src2	0	26	LastDelay	0.240049	240049	1	3
0.456716	Src2	0	26	FullDelay	0.240049	240049	1	3
0.46535	Src2	0	27	LastDelay	0.24035	240350	1	3
0.46535	Src2	0	27	FullDelay	0.24035	240350	1	3
0.47394	Src2	0	28	LastDelay	0.240607	240607	1	3
0.47394	Src2	0	28	FullDelay	0.240607	240607	1	3
0.482532	Src2	0	29	LastDelay	0.240865	240865	1	3
0.482532	Src2	0	29	FullDelay	0.240865	240865	1	3
0.491124	Src2	0	30	LastDelay	0.241124	241124	1	3
0.491124	Src2	0	30	FullDelay	0.241124	241124	1	3
0.499716	Src2	0	31	LastDelay	0.241383	241383	1	3
0.499716	Src2	0	31	FullDelay	0.241383	241383	1	3
0.508308	Src2	0	32	LastDelay	0.241641	241641	1	3
0.508308	Src2	0	32	FullDelay	0.241641	241641	1	3
0.5169	Src2	0	33	LastDelay	0.2419	241900	1	3
0.5169	Src2	0	33	FullDelay	0.2419	241900	1	3
0.525492	Src2	0	34	LastDelay	0.242159	242159	1	3
0.525492	Src2	0	34	FullDelay	0.242159	242159	1	3
0.542247	Src1	0	35	LastDelay	0.25058	250580	1	3
0.542247	Src1	0	35	FullDelay	0.25058	250580	1	3
0.542676	Src2	0	37	LastDelay	0.234343	234343	1	3
0.542676	Src2	0	37	FullDelay	0.234343	234343	1	3
0.551268	Src2	0	38	LastDelay	0.234601	234601	1	3
0.551268	Src2	0	38	FullDelay	0.234601	234601	1	3
0.55986	Src2	0	39	LastDelay	0.23486	234860	1	3
0.55986	Src2	0	39	FullDelay	0.23486	234860	1	3
0.568452	Src2	0	40	LastDelay	0.235119	235119	1	3
0.568452	Src2	0	40	FullDelay	0.235119	235119	1	3
0.577044	Src2	0	41	LastDelay	0.235377	235377	1	3
0.577044	Src2	0	41	FullDelay	0.235377	235377	1	3
0.585678	Src2	0	42	LastDelay	0.235678	235678	1	3
0.585678	Src2	0	42	FullDelay	0.235678	235678	1	3
0.594268	Src2	0	43	LastDelay	0.235935	235935	1	3
0.594268	Src2	0	43	FullDelay	0.235935	235935	1	3
0.60286	Src2	0	44	LastDelay	0.236193	236193	1	3
0.60286	Src2	0	44	FullDelay	0.236193	236193	1	3
0.611452	Src2	0	45	LastDelay	0.236452	236452	1	3
0.611452	Src2	0	45	FullDelay	0.236452	236452	1	3
0.620044	Src2	0	46	LastDelay	0.236711	236711	1	3
0.620044	Src2	0	46	FullDelay	0.236711	236711	1	3
0.628636	Src2	0	47	LastDelay	0.236969	236969	1	3
